,Date ,"Time in 
(24 hours)","Time out
(24 hours) ",Weather ,Crew Leader (name) ,POI,General Location,Species Code,"Point Area (m²) or
 Line Depth (m)",PolygonLine ID,Direction from trail ,Distribution Code,"Does this cherry laurel or holly plant have a DBH of 20cm+? 
",Holly Berries present?,Proximity to stream or wetland,Vegetation layer ,Native Herb Layer %,X_COORD_x,Y_COORD_x,X_COORD_y,Y_COORD_y
32,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2643,Cleveland,EH,2.0,,N,3.0,,Unknown,10m+,Mixed,6-25%,,,-123.218272,49.255764
33,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2644,Cleveland,EH,4.0,,N,3.0,,Unknown,10m+,Tree,6-25%,,,-123.218112,49.255787
34,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2645,Cleveland,EI,0.5,,N,1.0,,,10m+,Mixed,1-5%,,,-123.218085,49.255787
35,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2646,Cleveland,EI,0.5,,E,3.0,,,10m+,Herb,6-25%,,,-123.21822,49.255643
36,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2647,Cleveland,EI,0.5,,N,1.0,,,10m+,Herb,1-5%,,,-123.218184,49.255549
37,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2648,Cleveland,EH,1.5,,N,2.0,,Unknown,10m+,Shrub,1-5%,,,-123.217953,49.255545
38,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2649,Cleveland,EH,0.5,,N,1.0,,Unknown,10m+,Herb,1-5%,,,-123.217984,49.255618
39,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2650,Cleveland,EH,1.0,,N,2.0,,Unknown,10m+,Shrub,76-100%,,,-123.217893,49.255653
40,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2651,Cleveland,EH,2.0,,N,2.0,,Unknown,10m+,Shrub,26-50%,,,-123.217994,49.255434
41,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2652,Cleveland,EI,4.0,,N,5.0,,,10m+,Mixed,6-25%,,,-123.217957,49.255335
42,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2653,Cleveland,EI,5.0,,N,6.0,,,10m+,Mixed,6-25%,,,-123.21795,49.25531
43,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2654,Cleveland,EH,1.0,,E,2.0,,Unknown,10m+,Shrub,1-5%,,,-123.217829,49.255335
44,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2655,Admiralty,EH,0.5,,E,1.0,,Unknown,10m+,Herb,1-5%,,,-123.217751,49.255068
45,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2656,Cleveland,EH,2.0,,E,2.0,,Unknown,10m+,Mixed,6-25%,,,-123.217626,49.255089
46,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2657,Cleveland,EH,2.0,,SW,2.0,,Unknown,10m+,Mixed,6-25%,,,-123.218133,49.255242
47,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2658,Cleveland,LC,0.5,,SW,1.0,,,10m+,Herb,1-5%,,,-123.218274,49.255203
48,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2659,Cleveland,EH,1.5,,SE,6.0,,Unknown,10m+,Shrub,6-25%,,,-123.218409,49.25526
49,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2660,Cleveland,EH,0.5,,SW,1.0,,Unknown,10m+,Herb,1-5%,,,-123.218481,49.255286
50,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2661,Cleveland,HB,0.5,,SW,1.0,,,10m+,Shrub,1-5%,,,-123.218525,49.255353
51,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2662,Cleveland,EI,0.5,,SW,1.0,,,10m+,Herb,1-5%,,,-123.21855,49.255491
52,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2663,Cleveland,EH,1.0,,SW,2.0,,Unknown,10m+,Shrub,6-25%,,,-123.218624,49.255558
53,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2664,Cleveland,EI,5.0,,SW,2.0,,,10m+,Shrub,76-100%,,,-123.218592,49.255568
54,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2665,Cleveland,EI,1.0,,SW,2.0,,,10m+,Mixed,1-5%,,,-123.218788,49.255702
55,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2666,Cleveland,EI,1.0,,SW,1.0,,,10m+,Herb,1-5%,,,-123.218818,49.255702
56,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2667,Cleveland,EH,1.0,,W,2.0,,Unknown,10m+,Mixed,6-25%,,,-123.218799,49.255789
57,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2668,Cleveland,EH,0.5,,W,1.0,,Unknown,10m+,Shrub,26-50%,,,-123.218952,49.255857
58,2017-10-14,9:30:00,12:30:00,Overcast,Doug Crocker,2669,Cleveland,LC,0.5,,W,1.0,,,10m+,Herb,1-5%,,,-123.219071,49.255879
59,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3070,S.W. Marine,HB,2.0,,NW,2.0,,,10m+,Shrub,6-25%,,,-123.203822,49.237185
60,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3071,S.W. Marine,SL,0.5,,NW,1.0,,,10m+,Herb,26-50%,,,-123.20434,49.237288
61,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3072,S.W. Marine,EI,0.6,,NW,3.0,,,10m+,Herb,76-100%,,,-123.20488,49.237473
62,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3073,S.W. Marine,EI,1.5,L-1,NW,7.0,,,10m+,Herb,76-100%,,,-123.204905,49.237495
63,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3074,S.W. Marine,EI,5.0,L-2,NW,7.0,,,10m+,Herb,76-100%,,,-123.204961,49.237506
64,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3075,S.W. Marine,EI,5.0,L-3,NW,7.0,,,10m+,Herb,76-100%,,,-123.204971,49.23744
65,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3076,S.W. Marine,HB,3.0,,NW,2.0,,,10m+,Shrub,51-75%,,,-123.205089,49.237402
66,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3077,S.W. Marine,EI,0.5,,NW,2.0,,,10m+,Herb,1-5%,,,-123.205272,49.237642
67,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3078,S.W. Marine,EI,3.5,,NW,3.0,,,10m+,Herb,6-25%,,,-123.205167,49.237656
68,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3079,S.W. Marine,EH,0.51,,NW,1.0,No,Unknown,10m+,Shrub,1-5%,,,-123.205177,49.237646
69,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3080,S.W. Marine,LC,1.5,,NW,1.0,No,,10m+,Shrub,26-50%,,,-123.205375,49.237519
70,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3081,S.W. Marine,EI,2.5,,NW,7.0,,,10m+,Herb,51-75%,,,-123.20535,49.237587
71,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3082,S.W. Marine,EH,1.2,,NW,3.0,,,10m+,Shrub,6-25%,,,-123.205896,49.237727
72,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3083,S.W. Marine,HB,2.5,L-1,NW,4.0,,,10m+,Shrub,51-75%,,,-123.20647,49.237757
73,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3084,S.W. Marine,HB,2.5,L-2,NW,4.0,,,10m+,Shrub,51-75%,,,-123.206597,49.237804
74,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3085,S.W. Marine,HB,2.5,L-1¥,NW,4.0,,,10m+,Shrub,51-75%,,,-123.207761,49.238246
75,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3086,S.W. Marine,HB,2.5,L-2,NW,4.0,,,10m+,Shrub,51-75%,,,-123.208101,49.238244
76,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3087,S.W. Marine,HB,1.0,,NW,2.0,,,10m+,Shrub,51-75%,,,-123.208297,49.238292
77,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3088,S.W. Marine,HB,2.0,,NW,7.0,,,10m+,Shrub,76-100%,,,-123.208481,49.238359
78,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3089,S.W. Marine,HP,2.0,L-2,NW,7.0,,,1m,Shrub,76-100%,,,-123.208634,49.238404
79,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3090,S.W. Marine,HB,1.0,L-2,NW,4.0,,,10m+,Shrub,76-100%,,,-123.209866,49.238617
80,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3091,S.W. Marine,HB,2.0,L-2,NW,4.0,,,10m+,Shrub,76-100%,,,-123.210221,49.238698
81,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3092,S.W. Marine,HB,3.0,L-1,NW,4.0,,,10m+,Shrub,76-100%,,,-123.210474,49.238806
82,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3093,S.W. Marine,HB,6.0,L-2,NW,7.0,,,10m+,Shrub,26-50%,,,-123.210788,49.238817
83,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3094,S.W. Marine,HB,2.0,L-3,NW,7.0,,,10m+,Shrub,51-75%,,,-123.211123,49.238857
84,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3095,S.W. Marine,HB,1.5,,NW,2.0,,,10m+,Shrub,51-75%,,,-123.211458,49.238908
85,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3096,S.W. Marine,HB,3.0,L-1,NW,7.0,,,2m to 5m,Shrub,26-50%,,,-123.211709,49.238894
86,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3097,S.W. Marine,HB,12.0,L-2,NW,8.0,,,1m,Shrub,6-25%,,,-123.211673,49.238947
87,2018-02-17,9:30:00,12:30:00,Rain,David Bromley,3098,S.W. Marine,HB,4.0,L-3,NW,7.0,,,,Shrub,26-50%,,,-123.211818,49.239024
88,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2672,Sherry Sakamoto,EH,2.0,L1-1,S,4.0,,Unknown,10m+,Tree,26-50%,,,-123.214943,49.258179
89,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2673,Sherry Sakamoto,EH,2.0,L1-2,S,4.0,,Unknown,10m+,Tree,26-50%,,,-123.214826,49.258247
90,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2674,Sherry Sakamoto,EH,0.5,,S,1.0,,Unknown,10m+,Herb,1-5%,,,-123.214888,49.258112
91,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2676,Sherry Sakamoto,HB,0.9,,S,4.0,,Unknown,10m+,Herb,26-50%,,,-123.214613,49.258148
92,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2677,Sherry Sakamoto,EH,0.5,,S,2.0,,Unknown,10m+,Herb,1-5%,,,-123.214494,49.258147
93,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2679,Sherry Sakamoto,EH,0.5,,S,3.0,,Unknown,10m+,Herb,1-5%,,,-123.214473,49.258108
94,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2680,Sherry Sakamoto,EH,0.5,,S,1.0,,Unknown,10m+,Herb,1-5%,,,-123.214521,49.258054
95,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2681,Sherry Sakamoto,HB,0.5,,S,1.0,,,10m+,Herb,6-25%,,,-123.214195,49.258149
96,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2682,Sherry Sakamoto,HB,2.5,,S,7.0,,,10m+,Herb,6-25%,,,-123.21416,49.258253
97,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2683,Sherry Sakamoto,EI,5.0,,S,9.0,,,10m+,Herb,1-5%,,,-123.214173,49.258285
98,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2684,Sherry Sakamoto,EH,1.0,,S,1.0,,Unknown,10m+,Shrub,1-5%,,,-123.214161,49.258298
99,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2685,Sherry Sakamoto,EH,1.0,,S,1.0,,Unknown,10m+,Shrub,26-50%,,,-123.214133,49.258345
100,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2686,Sherry Sakamoto,EH,0.5,,S,1.0,,Unknown,10m+,Herb,1-5%,,,-123.213995,49.258292
101,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2687,Sherry Sakamoto,EI,0.5,,S,3.0,,,10m+,Herb,6-25%,,,-123.213837,49.25834
102,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2688,Sherry Sakamoto,EH,3.5,,S,4.0,,Unknown,10m+,Mixed,26-50%,,,-123.2138,49.258264
103,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2689,Sherry Sakamoto,EI,1.25,,S,1.0,,,10m+,Herb,51-75%,,,-123.213763,49.258242
104,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2690,Sherry Sakamoto,EI,0.7,L2-1,S,8.0,,,10m+,Herb,1-5%,,,-123.213659,49.258202
105,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2691,Sherry Sakamoto,EI,0.7,L2-2,S,8.0,,,10m+,Herb,1-5%,,,-123.213685,49.25823
106,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2692,Sherry Sakamoto,EI,1.0,,S,2.0,,,10m+,Herb,76-100%,,,-123.213685,49.25829
107,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2693,Sherry Sakamoto,EI,0.9,,S,3.0,,,10m+,Herb,51-75%,,,-123.213576,49.25821
108,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2694,Sherry Sakamoto,EI,3.2,,S,2.0,,,10m+,Herb,26-50%,,,-123.213496,49.258172
109,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2695,Sherry Sakamoto,EI,9.0,,S,8.0,,,10m+,Herb,6-25%,,,-123.213469,49.258064
110,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2696,Sherry Sakamoto,EH,1.0,,S,3.0,,Unknown,10m+,,1-5%,,,-123.213421,49.258268
111,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2697,Sherry Sakamoto,EI,1.9,,S,2.0,,,10m+,Herb,51-75%,,,-123.213349,49.258185
112,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2698,Sherry Sakamoto,EH,2.0,,S,1.0,,Unknown,10m+,Tree,1-5%,,,-123.213334,49.258164
113,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2699,Sherry Sakamoto,EH,0.5,,S,1.0,,F,10m+,Shrub,6-25%,,,-123.213155,49.25821
114,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2700,Sherry Sakamoto,EI,1.5,,S,3.0,,,10m+,Shrub,1-5%,,,-123.213198,49.258231
115,2017-10-21,9:30:00,12:30:00,Rain,Joseph Yang,2701,Sherry Sakamoto,EH,3.0,,S,2.0,,Unknown,10m+,Herb,6-25%,,,-123.213057,49.258156
116,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2808,Nature,EI,3.0,,E,8.0,,,10m+,Herb,1-5%,,,-123.213994,49.258087
117,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2809,Nature,EH,1.0,,E,4.0,,Unknown,10m+,Herb,1-5%,,,-123.214038,49.257829
118,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2810,Nature,EI,1.0,,S,5.0,,,10m+,Herb,1-5%,,,-123.214477,49.25739
119,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2811,Nature,EH,0.5,,S,2.0,,Unknown,10m+,Herb,1-5%,,,-123.214475,49.257357
120,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2812,Nature,EH,0.5,,SE,2.0,,Unknown,10m+,Herb,6-25%,,,-123.214642,49.257403
121,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2813,Nature,EH,3.0,,E,4.0,,Unknown,10m+,Herb,1-5%,,,-123.214673,49.257317
122,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2814,Nature,EI,3.5,,E,6.0,,,10m+,Herb,1-5%,,,-123.214628,49.257457
123,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2815,Nature,EH,1.0,,E,3.0,,Unknown,10m+,Herb,1-5%,,,-123.214611,49.257275
124,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2816,Nature,EH,1.0,,E,2.0,,Unknown,10m+,Tree,1-5%,,,-123.214762,49.257029
125,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2817,Nature,EI,1.0,,E,3.0,,,10m+,Herb,1-5%,,,-123.215129,49.256571
126,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2818,Nature,EH,1.0,,E,1.0,,Unknown,10m+,Herb,1-5%,,,-123.215999,49.25567
127,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2819,Nature,EH,0.5,,E,1.0,,Unknown,10m+,Tree,1-5%,,,-123.215902,49.255604
128,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2820,Deer Fern,EH,0.5,,N,1.0,,Unknown,10m+,Herb,1-5%,,,-123.216331,49.255245
129,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2821,Deer Fern,EH,3.0,,N,8.0,,Unknown,10m+,Tree,26-50%,,,-123.215917,49.255171
130,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2822,Deer Fern,EH,1.0,,NE,7.0,,Unknown,10m+,Herb,1-5%,,,-123.215715,49.255103
131,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2823,Deer Fern,EH,5.0,,E,6.0,,Unknown,10m+,Herb,6-25%,,,-123.215632,49.255155
132,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2824,Deer Fern,EH,1.0,,E,,,Unknown,10m+,Herb,1-5%,,,-123.21572,49.255064
133,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2825,Deer Fern,EI,4.0,,E,8.0,,,10m+,Herb,1-5%,,,-123.215714,49.254951
134,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2826,Deer Fern,EI,4.0,,E,8.0,,,10m+,Herb,1-5%,,,-123.21558,49.255007
135,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2827,Deer Fern,EH,0.5,,E,3.0,,,10m+,Herb,1-5%,,,-123.21553,49.25491
136,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2828,Deer Fern,EH,2.0,,E,5.0,,Unknown,10m+,Tree,1-5%,,,-123.215501,49.254649
137,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2829,Deer Fern,EH,0.5,,E,3.0,,Unknown,10m+,Shrub,26-50%,,,-123.215132,49.254511
138,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2830,Deer Fern,EH,0.5,,E,2.0,,Unknown,10m+,Herb,1-5%,,,-123.2148,49.254376
139,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2831,Deer Fern,EH,0.5,,E,2.0,,Unknown,10m+,Herb,1-5%,,,-123.214434,49.254213
140,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2832,Deer Fern,EH,1.0,,E,3.0,,Unknown,10m+,Tree,6-25%,,,-123.214149,49.253839
141,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2833,Deer Fern,EH,0.5,,E,3.0,,Unknown,10m+,Herb,1-5%,,,-123.213862,49.253336
142,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2834,Council,HB,1.0,,NE,2.0,,,10m+,Herb,6-25%,,,-123.212334,49.251918
143,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2835,Council,EH,0.5,,N,2.0,,Unknown,10m+,Tree,1-5%,,,-123.211712,49.251656
144,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2836,Council,EH,2.0,,N,4.0,,Unknown,10m+,Tree,6-25%,,,-123.210806,49.251354
145,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2837,Council,SL,5.0,,N,8.0,,,10m+,Mixed,0%,,,-123.210768,49.251395
146,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2838,Council,EH,1.0,,N,3.0,,Unknown,10m+,Shrub,1-5%,,,-123.210583,49.251337
147,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2839,Council,EH,0.5,,N,1.0,,Unknown,10m+,Herb,0%,,,-123.210273,49.251275
148,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2840,Council,EH,1.0,,N,4.0,,Unknown,6m to 10m,Shrub,1-5%,,,-123.21013,49.251262
149,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2841,Council,EH,2.0,,N,1.0,,Unknown,10m+,Tree,1-5%,,,-123.209979,49.251126
150,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2842,Council,EH,2.0,,NE,3.0,,Unknown,10m+,Tree,1-5%,,,-123.209094,49.250812
151,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2843,Council,EH,2.0,,N,5.0,,Unknown,10m+,Tree,6-25%,,,-123.208226,49.250262
152,2017-11-25,9:30:00,12:30:00,Overcast,Joseph Yang,2844,Council,EI,0.5,,N,1.0,,,10m+,Tree,1-5%,,,-123.208144,49.250248
